Age,Gender,Quit,YearsOverall,BasicSalary,Contract,CusSize,TechRole,ThisYearBonus,LastYearBonus,Level
35,1,0,17.0,85000.0,Unlimited contract,1000+,1,1,0,Management
29,1,0,7.0,82000.0,Unlimited contract,101 to 1000,1,0,0,Management
35,1,0,15.0,100000.0,Unlimited contract,11 to 50,1,0,1,Top Management
27,0,0,3.0,17500.0,Unlimited contract,1000+,1,1,1,Employee
54,1,1,25.0,75000.0,Unlimited contract,1000+,1,1,1,Employee
36,1,0,15.0,68000.0,Unlimited contract,1000+,1,1,0,Management
35,0,0,1.5,46000.0,Unlimited contract,1000+,1,1,0,Employee
36,1,0,14.0,75000.0,Unlimited contract,11 to 50,1,0,1,Management
37,1,0,17.0,90000.0,Unlimited contract,1000+,1,0,1,Management
27,1,0,7.0,63000.0,Unlimited contract,51 to 100,1,0,1,Employee
34,1,1,11.0,80000.0,Unlimited contract,1000+,1,1,0,Management
32,0,0,2.0,52500.0,Unlimited contract,101 to 1000,1,0,0,Employee
39,0,0,10.0,70500.0,Unlimited contract,101 to 1000,1,1,0,Management
32,1,0,7.0,62000.0,Unlimited contract,101 to 1000,1,0,0,Management
39,1,0,10.0,75000.0,Unlimited contract,1000+,1,0,0,Management
35,1,0,12.0,66000.0,Unlimited contract,51 to 100,1,0,0,Management
32,1,0,9.0,60000.0,Unlimited contract,1000+,1,1,1,Management
25,1,0,4.0,60000.0,Unlimited contract,101 to 1000,1,0,0,Employee
26,1,1,1.5,58000.0,Unlimited contract,101 to 1000,1,0,0,Employee
29,1,1,1.0,45000.0,Unlimited contract,1000+,1,1,0,Employee
26,1,0,4.0,65000.0,Unlimited contract,101 to 1000,1,1,1,Employee
32,1,1,8.0,60000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,1,0,9.0,70800.0,Unlimited contract,1000+,1,1,0,Management
38,1,0,7.0,54500.0,Unlimited contract,11 to 50,0,0,0,Employee
41,0,1,12.0,68000.0,Unlimited contract,101 to 1000,0,1,1,Management
26,1,0,7.0,72000.0,Unlimited contract,101 to 1000,1,0,0,Management
46,1,0,23.0,90000.0,Unlimited contract,1000+,1,1,1,Management
43,1,0,21.0,72000.0,Unlimited contract,101 to 1000,1,0,1,Management
33,1,0,9.0,60000.0,Unlimited contract,1000+,1,1,1,Management
24,0,0,2.0,58000.0,Unlimited contract,11 to 50,0,0,0,Employee
49,1,0,27.0,57000.0,Unlimited contract,101 to 1000,1,0,0,Management
35,0,0,1.0,50000.0,Unlimited contract,51 to 100,1,0,0,Employee
27,1,1,2.0,49000.0,Unlimited contract,11 to 50,1,1,0,Employee
36,1,0,16.0,65000.0,Unlimited contract,51 to 100,1,0,0,Employee
37,1,1,15.0,80000.0,Unlimited contract,51 to 100,1,0,0,Management
24,1,0,2.0,60000.0,Unlimited contract,up to 10,1,0,0,Employee
29,0,0,2.0,52000.0,Unlimited contract,up to 10,1,0,0,Employee
39,1,0,12.0,65000.0,Unlimited contract,1000+,1,1,0,Management
30,0,0,8.0,52000.0,Unlimited contract,1000+,1,0,0,Management
27,1,0,3.0,55000.0,Unlimited contract,101 to 1000,0,0,0,Employee
35,1,0,10.0,50400.0,Unlimited contract,11 to 50,0,0,0,Management
32,1,1,4.0,105000.0,Unlimited contract,11 to 50,1,0,0,Top Management
36,1,0,14.0,65000.0,Unlimited contract,101 to 1000,1,1,0,Employee
32,0,0,2.0,54000.0,Unlimited contract,1000+,1,1,1,Employee
32,1,0,4.0,37500.0,Unlimited contract,101 to 1000,1,0,1,Employee
27,1,1,0.0,40000.0,Unlimited contract,1000+,1,0,1,Employee
33,1,0,12.0,70200.0,Unlimited contract,101 to 1000,1,0,0,Management
36,1,0,10.0,66000.0,Unlimited contract,51 to 100,1,1,1,Employee
34,1,0,3.5,55000.0,Unlimited contract,1000+,1,1,1,Employee
27,1,0,2.0,25300.0,Temporary contract,1000+,1,1,1,Employee
29,1,0,4.0,37500.0,Unlimited contract,101 to 1000,1,0,0,Employee
22,1,0,3.0,27000.0,Unlimited contract,51 to 100,1,0,0,Employee
45,1,1,2.0,42000.0,Unlimited contract,101 to 1000,1,0,0,Management
30,1,0,5.0,40000.0,Unlimited contract,1000+,1,0,0,Management
28,1,0,4.0,30000.0,Unlimited contract,51 to 100,1,0,0,Employee
30,1,0,3.0,65000.0,Unlimited contract,101 to 1000,1,1,1,Employee
32,0,1,4.0,85000.0,Unlimited contract,1000+,1,1,1,Management
39,0,1,2.5,60000.0,Unlimited contract,up to 10,1,1,1,Employee
38,1,0,15.0,80000.0,Unlimited contract,51 to 100,1,1,1,Management
38,1,1,20.0,130000.0,Unlimited contract,1000+,1,1,1,Top Management
29,1,0,9.0,113000.0,Unlimited contract,1000+,1,1,0,Management
26,1,1,4.0,60000.0,Unlimited contract,1000+,1,1,1,Employee
39,1,0,15.0,110000.0,Unlimited contract,101 to 1000,1,0,0,Management
